date,hold_date,model,cost_bps,portfolio,gross_return,net_return,turnover,cost
2016-01-29,2016-02-01,elastic_net,0,long_only,-0.0007240771604938274,-0.0007240771604938274,1.0,0.0
2016-01-29,2016-02-02,elastic_net,0,long_only,-0.021592055555555555,-0.021592055555555555,1.0,0.0
2016-01-29,2016-02-03,elastic_net,0,long_only,0.0027145987654320983,0.0027145987654320983,1.0,0.0
2016-01-29,2016-02-04,elastic_net,0,long_only,0.0056225462962962965,0.0056225462962962965,1.0,0.0
2016-01-29,2016-02-05,elastic_net,0,long_only,-0.02952760185185185,-0.02952760185185185,1.0,0.0
2016-01-29,2016-02-08,elastic_net,0,long_only,-0.018787003086419753,-0.018787003086419753,1.0,0.0
2016-01-29,2016-02-09,elastic_net,0,long_only,-0.009988515432098765,-0.009988515432098765,1.0,0.0
2016-01-29,2016-02-10,elastic_net,0,long_only,0.0008056111111111112,0.0008056111111111112,1.0,0.0
2016-01-29,2016-02-11,elastic_net,0,long_only,-0.01088927160493827,-0.01088927160493827,1.0,0.0
2016-01-29,2016-02-12,elastic_net,0,long_only,0.01593212962962963,0.01593212962962963,1.0,0.0
2016-01-29,2016-02-16,elastic_net,0,long_only,0.023351817901234567,0.023351817901234567,1.0,0.0
2016-01-29,2016-02-17,elastic_net,0,long_only,0.020280601851851852,0.020280601851851852,1.0,0.0
2016-01-29,2016-02-18,elastic_net,0,long_only,-0.0060938425925925925,-0.0060938425925925925,1.0,0.0
2016-01-29,2016-02-19,elastic_net,0,long_only,0.0020098086419753085,0.0020098086419753085,1.0,0.0
2016-01-29,2016-02-22,elastic_net,0,long_only,0.014398061728395061,0.014398061728395061,1.0,0.0
2016-01-29,2016-02-23,elastic_net,0,long_only,-0.010948546296296296,-0.010948546296296296,1.0,0.0
2016-01-29,2016-02-24,elastic_net,0,long_only,0.01076194135802469,0.01076194135802469,1.0,0.0
2016-01-29,2016-02-25,elastic_net,0,long_only,0.008667182098765432,0.008667182098765432,1.0,0.0
2016-01-29,2016-02-26,elastic_net,0,long_only,0.008458336419753085,0.008458336419753085,1.0,0.0
