date,hold_date,model,cost_bps,portfolio,gross_return,net_return,turnover,cost
2016-01-29,2016-02-01,elastic_net,0,long_only,-0.003381555555555555,-0.003381555555555555,1.0,0.0
2016-01-29,2016-02-02,elastic_net,0,long_only,-0.028502364197530862,-0.028502364197530862,1.0,0.0
2016-01-29,2016-02-03,elastic_net,0,long_only,0.011123348765432098,0.011123348765432098,1.0,0.0
2016-01-29,2016-02-04,elastic_net,0,long_only,0.012879524691358024,0.012879524691358024,1.0,0.0
2016-01-29,2016-02-05,elastic_net,0,long_only,-0.020693416666666666,-0.020693416666666666,1.0,0.0
2016-01-29,2016-02-08,elastic_net,0,long_only,-0.028842654320987652,-0.028842654320987652,1.0,0.0
2016-01-29,2016-02-09,elastic_net,0,long_only,-0.012629191358024691,-0.012629191358024691,1.0,0.0
2016-01-29,2016-02-10,elastic_net,0,long_only,0.0011104475308641975,0.0011104475308641975,1.0,0.0
2016-01-29,2016-02-11,elastic_net,0,long_only,-0.016651666666666665,-0.016651666666666665,1.0,0.0
2016-01-29,2016-02-12,elastic_net,0,long_only,0.02518975,0.02518975,1.0,0.0
2016-01-29,2016-02-16,elastic_net,0,long_only,0.027405108024691358,0.027405108024691358,1.0,0.0
2016-01-29,2016-02-17,elastic_net,0,long_only,0.02462816049382716,0.02462816049382716,1.0,0.0
2016-01-29,2016-02-18,elastic_net,0,long_only,-0.0034802561728395063,-0.0034802561728395063,1.0,0.0
2016-01-29,2016-02-19,elastic_net,0,long_only,-0.001922611111111111,-0.001922611111111111,1.0,0.0
2016-01-29,2016-02-22,elastic_net,0,long_only,0.02012497222222222,0.02012497222222222,1.0,0.0
2016-01-29,2016-02-23,elastic_net,0,long_only,-0.01405002160493827,-0.01405002160493827,1.0,0.0
2016-01-29,2016-02-24,elastic_net,0,long_only,0.007890935185185185,0.007890935185185185,1.0,0.0
2016-01-29,2016-02-25,elastic_net,0,long_only,0.008390543209876544,0.008390543209876544,1.0,0.0
2016-01-29,2016-02-26,elastic_net,0,long_only,0.010584595679012345,0.010584595679012345,1.0,0.0
2016-01-29,2016-02-29,elastic_net,0,long_only,0.0016636296296296295,0.0016636296296296295,1.0,0.0
2016-02-29,2016-03-01,elastic_net,0,long_only,0.025189631746031747,0.025189631746031747,0.9506172839506173,0.0
2016-02-29,2016-03-02,elastic_net,0,long_only,0.01577491746031746,0.01577491746031746,0.9506172839506173,0.0
2016-02-29,2016-03-03,elastic_net,0,long_only,0.014997460317460317,0.014997460317460317,0.9506172839506173,0.0
2016-02-29,2016-03-04,elastic_net,0,long_only,0.009433123809523809,0.009433123809523809,0.9506172839506173,0.0
2016-02-29,2016-03-07,elastic_net,0,long_only,0.012227066666666666,0.012227066666666666,0.9506172839506173,0.0
2016-02-29,2016-03-08,elastic_net,0,long_only,-0.03264187936507937,-0.03264187936507937,0.9506172839506173,0.0
2016-02-29,2016-03-09,elastic_net,0,long_only,0.006488428571428571,0.006488428571428571,0.9506172839506173,0.0
2016-02-29,2016-03-10,elastic_net,0,long_only,-0.010904184126984127,-0.010904184126984127,0.9506172839506173,0.0
2016-02-29,2016-03-11,elastic_net,0,long_only,0.0298286,0.0298286,0.9506172839506173,0.0
2016-02-29,2016-03-14,elastic_net,0,long_only,0.0006452825396825395,0.0006452825396825395,0.9506172839506173,0.0
2016-02-29,2016-03-15,elastic_net,0,long_only,-0.02165248253968254,-0.02165248253968254,0.9506172839506173,0.0
2016-02-29,2016-03-16,elastic_net,0,long_only,0.013862053968253968,0.013862053968253968,0.9506172839506173,0.0
2016-02-29,2016-03-17,elastic_net,0,long_only,0.017320619047619046,0.017320619047619046,0.9506172839506173,0.0
2016-02-29,2016-03-18,elastic_net,0,long_only,0.007165853968253968,0.007165853968253968,0.9506172839506173,0.0
2016-02-29,2016-03-21,elastic_net,0,long_only,0.003999063492063492,0.003999063492063492,0.9506172839506173,0.0
2016-02-29,2016-03-22,elastic_net,0,long_only,0.0019595587301587305,0.0019595587301587305,0.9506172839506173,0.0
2016-02-29,2016-03-23,elastic_net,0,long_only,-0.0274074,-0.0274074,0.9506172839506173,0.0
2016-02-29,2016-03-24,elastic_net,0,long_only,0.0018251841269841269,0.0018251841269841269,0.9506172839506173,0.0
2016-02-29,2016-03-28,elastic_net,0,long_only,-0.0005000126984126982,-0.0005000126984126982,0.9506172839506173,0.0
2016-02-29,2016-03-29,elastic_net,0,long_only,0.01994743492063492,0.01994743492063492,0.9506172839506173,0.0
2016-02-29,2016-03-30,elastic_net,0,long_only,0.0033018603174603174,0.0033018603174603174,0.9506172839506173,0.0
2016-02-29,2016-03-31,elastic_net,0,long_only,0.006883561904761905,0.006883561904761905,0.9506172839506173,0.0
2016-03-31,2016-04-01,elastic_net,0,long_only,-0.0009273584905660378,-0.0009273584905660378,0.8176100628930818,0.0
