year,model,ic_type,mean_ic,median_ic,std_ic,ic_ir,positive_ic_rate,n_rebalance_dates
2016,elastic_net,pearson_ic,0.02743030840942696,0.024044570816564203,0.0582532025676116,0.4708806932561341,0.75,12
2016,elastic_net,spearman_rank_ic,0.03350803693176455,0.027826469727089312,0.07746298061132914,0.4325683916023227,0.75,12
2017,elastic_net,pearson_ic,-0.0010034833922151806,0.016250754838279827,0.07418054342535385,-0.01352758211086661,0.5833333333333334,12
2017,elastic_net,spearman_rank_ic,-0.0024480055424289647,0.00041805003445086544,0.10968376202614112,-0.02231875983471033,0.5,12
2018,elastic_net,pearson_ic,0.031207288529144606,0.033203571301462495,0.08504887826769086,0.3669335700221682,0.6666666666666666,12
2018,elastic_net,spearman_rank_ic,0.008454498238366838,0.02235028978080847,0.1367710198430898,0.06181498279435394,0.5833333333333334,12
2019,elastic_net,pearson_ic,0.024046333567047568,0.03216983124388342,0.09669316555042191,0.2486870031626826,0.5,12
2019,elastic_net,spearman_rank_ic,0.040832878303422665,0.09504759632016052,0.1338560886067675,0.30505058625594883,0.6666666666666666,12
2020,elastic_net,pearson_ic,0.04891783417954017,0.04161449257562428,0.14231458769556957,0.34373028774943387,0.7272727272727273,11
2020,elastic_net,spearman_rank_ic,0.06917380274092565,0.09519645851171461,0.16696323689902023,0.4143055922110694,0.7272727272727273,11
2021,elastic_net,pearson_ic,0.06737008849217523,0.06708383394457021,0.07862110183652006,0.8568957559544318,0.8333333333333334,12
2021,elastic_net,spearman_rank_ic,0.05730735862462765,0.028393360538251332,0.10340839820459051,0.5541847627428356,0.75,12
2022,elastic_net,pearson_ic,0.041746662443475226,0.018578878161870385,0.10182570138051765,0.40998158497794185,0.5833333333333334,12
2022,elastic_net,spearman_rank_ic,0.04036279486429493,0.018255572151748885,0.12763236837193176,0.3162426222999659,0.5,12
2023,elastic_net,pearson_ic,-0.01601650786696009,-0.06962786254390477,0.16347785978389737,-0.0979735597721455,0.4,10
2023,elastic_net,spearman_rank_ic,-0.04500300203334656,-0.10902700577585331,0.1942271116339474,-0.23170298757344465,0.4,10
