date,year,model,pearson_ic,spearman_rank_ic,n
2016-01-29,2016,ridge,0.029228375513779242,0.0233783359911651,3240
2016-01-29,2016,elastic_net,0.03027383310155688,0.021798418618694883,3240
2016-01-29,2016,lgbm,0.00032637995750494454,0.01957792827421715,3240
2016-01-29,2016,ranker,0.03490973276496702,0.03686429761724892,3240
2016-02-29,2016,ridge,0.027081902086198564,0.029631796821363722,3150
2016-02-29,2016,elastic_net,0.040876802084165394,0.05265962072021169,3150
2016-02-29,2016,lgbm,0.04390194406730354,0.030111157772529026,3150
2016-02-29,2016,ranker,0.04546596383520163,0.051969601979322724,3150
2016-03-31,2016,ridge,0.012519163033101017,-0.017790131174221666,3182
2016-03-31,2016,elastic_net,-0.012072946451047903,-0.030557812954846865,3182
2016-03-31,2016,lgbm,-0.0151562433864681,0.00899267191455566,3182
2016-03-31,2016,ranker,0.15457708595264005,0.1378110162707892,3182
2016-04-29,2016,ridge,-0.018689848527651803,-0.019027764336419357,3174
2016-04-29,2016,elastic_net,-0.02580011781181882,-0.02509270772270866,3174
2016-04-29,2016,lgbm,-0.034109271436963365,0.033682252394571045,3174
2016-04-29,2016,ranker,0.010147643677459904,0.017856427865865717,3174
2016-05-31,2016,ridge,0.07441774684410454,0.008683120663399801,3210
2016-05-31,2016,elastic_net,0.08809789173860082,0.02077253679724608,3210
2016-05-31,2016,lgbm,0.06770227680972185,0.012945472887703827,3210
2016-05-31,2016,ranker,-0.07350588360710465,-0.1118580281728725,3210
2016-06-30,2016,ridge,0.013524130973280538,0.051148933548677125,3324
2016-06-30,2016,elastic_net,0.037176607056279586,0.0713222145680635,3324
2016-06-30,2016,lgbm,-0.009744548320841928,0.09230917625474791,3324
2016-06-30,2016,ranker,0.0800130515745134,0.09264138307248312,3324
2016-07-29,2016,ridge,0.05996845129774954,0.10627463828896583,3239
2016-07-29,2016,elastic_net,0.052920978233949686,0.09155420150227905,3239
2016-07-29,2016,lgbm,-0.03779969565887576,-0.013423716650082986,3239
2016-07-29,2016,ranker,0.0864075492349759,0.08862284470652763,3239
2016-08-31,2016,ridge,0.028156077628163224,0.032887015306473914,3216
2016-08-31,2016,elastic_net,0.006242880734466622,0.04340026250343644,3216
2016-08-31,2016,lgbm,-0.005466490255256797,0.026862034383585778,3216
2016-08-31,2016,ranker,0.13423693239402124,0.12331896765354332,3216
2016-09-30,2016,ridge,-0.001968602547760392,0.024254028582836873,3263
2016-09-30,2016,elastic_net,0.04142668804487054,0.03787763729753557,3263
2016-09-30,2016,lgbm,0.061134679535573444,-0.039961151061379506,3263
2016-09-30,2016,ranker,-0.17165087965740072,-0.16442177404646266,3263
2016-10-31,2016,ridge,0.11438080043737911,0.21656185993942256,3157
2016-10-31,2016,elastic_net,0.17482753671764206,0.24483692070469454,3157
2016-10-31,2016,lgbm,0.05149613501123806,0.14895017494481613,3157
2016-10-31,2016,ranker,0.1480142018738001,0.16366118692188414,3157
2016-11-30,2016,ridge,0.015019193950332795,0.00870882315779439,3349
2016-11-30,2016,elastic_net,0.013531205266018509,0.002468125995029678,3349
2016-11-30,2016,lgbm,-0.017606938734300318,-0.012022055635152545,3349
2016-11-30,2016,ranker,-0.01170006765507084,-0.011402412676365993,3349
2016-12-30,2016,ridge,-0.06453369539668398,-0.07380693516523572,3428
2016-12-30,2016,elastic_net,-0.056956293748926676,-0.06516361606300033,3428
2016-12-30,2016,lgbm,-0.0006137283989232957,-0.04825758905140784,3428
2016-12-30,2016,ranker,0.04785750953551897,0.01038029026846799,3428
2017-01-31,2017,ridge,0.02639478874414103,0.02279767733984368,3347
2017-01-31,2017,elastic_net,0.00926882353408277,0.020806827112183426,3347
2017-01-31,2017,lgbm,0.029165034109443117,0.06618732552231185,3347
2017-01-31,2017,ranker,0.0408593649522767,-0.007830996697004244,3347
