noise_source,noise_var,rank_corr,mean_H_true,mean_H_est,sd_H_est
none,0.0,0.7822941260735314,0.13565244526672438,0.13455483454225406,0.08745875689110305
5min_RV_M78,0.00641025641025641,0.774409764102441,0.13565244526672438,0.12312694465276167,0.08306892644847842
GK_theoretical,0.16675675675675675,0.5818017194504298,0.13565244526672438,0.04071851642551333,0.04434890321961424
GK_CRSP_empirical,0.215,0.5320924030231008,0.13565244526672438,0.03380828261780036,0.040827760735984396
squared_daily_ret,1.234,0.15898284074571017,0.13565244526672438,0.006596722512091474,0.028802687146564712
