model,n_months,ic_mean,ic_se_hac,t_stat_hac,p_value_hac
ridge,93,0.03393698873066908,0.009458803091720324,3.5878734763360822,0.0005366707999174825
lgbm,93,0.03314565017948678,0.00704452405300311,4.705165307137627,8.910177663690177e-06
ranker,93,-0.018298520248455487,0.015815712915598048,-1.156983586266845,0.25027432008740425
ensemble,93,0.03630656786234458,0.007987717719075934,4.545299313174119,1.6651679624724025e-05
