year,model,portfolio,cost_bps,annual_return,annualized_vol,sharpe,max_drawdown,mean_daily_return,trading_days,avg_rebalance_turnover
2016,elastic_net,long_only,0,0.34812324921873317,0.172190681982047,1.955331509955932,-0.08080887887116395,0.0013360708976202288,234,1.2169929655674572
2016,elastic_net,long_only,5,0.33914539202889804,0.17217038583582478,1.9136945163413839,-0.08137984276735044,0.0013074663621047544,234,1.2169929655674572
2016,elastic_net,long_only,10,0.3302219016911738,0.17217456436783724,1.8717815926165935,-0.08195080666353627,0.00127886182658928,234,1.2169929655674572
2016,elastic_net,long_only,20,0.3125368375007771,0.17225632790989243,1.7871999138501298,-0.08309273445590837,0.0012216527555583311,234,1.2169929655674572
2016,elastic_net,long_short,0,0.13490062475850984,0.08817108262640948,1.589910228384466,-0.040474042334575744,0.0005562861353788107,234,2.078442807137887
2016,elastic_net,long_short,5,0.1219915867763568,0.08834702736296914,1.4473982125420677,-0.04264189384119854,0.0005074338471768518,234,2.078442807137887
2016,elastic_net,long_short,10,0.10921613411526199,0.08866127535339449,1.3034163156468577,-0.0448072941471197,0.00045858155897489285,234,2.078442807137887
2016,elastic_net,long_short,20,0.08406101486095752,0.08969822722493612,1.0138550384037481,-0.05223462815486779,0.0003608769825709751,234,2.078442807137887
2016,lgbm,long_only,0,0.36255469228845305,0.21908014193443318,1.6310871769227193,-0.10906260944815871,0.0014180111516970764,234,1.2322890585723167
2016,lgbm,long_only,5,0.35336981359385744,0.21905551610000187,1.5979504811121734,-0.10958841454847257,0.0013890470926280689,234,1.2322890585723167
2016,lgbm,long_only,10,0.3442412312676473,0.21905063070543662,1.5646653166581228,-0.11011421964878643,0.0013600830335590613,234,1.2322890585723167
2016,lgbm,long_only,20,0.3261517148342301,0.21910008118215332,1.4976856097707028,-0.11116582984941392,0.0013021549154210465,234,1.2322890585723167
2016,lgbm,long_short,0,0.054581946686204974,0.059753562007066545,0.9876568948021093,-0.03133446499581083,0.00023419054565581204,234,2.1776932869817345
2016,lgbm,long_short,5,0.0420351356186226,0.05964178364237799,0.7732393271155504,-0.03237760284595703,0.00018300544703017297,234,2.1776932869817345
2016,lgbm,long_short,10,0.029624150408468886,0.05975561433730897,0.5559097361200106,-0.03342074069610279,0.00013182034840453392,234,2.1776932869817345
2016,lgbm,long_short,20,0.005204370915029344,0.06065250479756346,0.12235996048952281,-0.03550701639639431,2.9450151153255783e-05,234,2.1776932869817345
2016,ranker,long_only,0,0.3801908497363278,0.22411652730622916,1.6612474026256645,-0.11745044739038246,0.0014774325352101467,234,1.2479446270090742
2016,ranker,long_only,5,0.3707713754735982,0.22408727396322695,1.6284785851396715,-0.11802409897899124,0.0014481005033787368,234,1.2479446270090742
2016,ranker,long_only,10,0.36141034529035254,0.22407783386751487,1.595560117031988,-0.11859775056760014,0.0014187684715473267,234,1.2479446270090742
2016,ranker,long_only,20,0.3428623133024542,0.22411839817782522,1.529309122203105,-0.11974505374481736,0.0013601044078845072,234,1.2479446270090742
2016,ranker,long_short,0,0.19665513252492461,0.1605139318309855,1.2848774711578594,-0.0821267703972709,0.000818415614351594,234,1.9247992695781322
2016,ranker,long_short,5,0.18406199398477452,0.16052146265072745,1.213794077526898,-0.08300409638890227,0.0007731746058786036,234,1.9247992695781322
2016,ranker,long_short,10,0.1715894203378232,0.16059454338584558,1.1422509300672945,-0.08388142238053342,0.0007279335974056134,234,1.9247992695781322
2016,ranker,long_short,20,0.1470018173069998,0.1609369173159008,0.998141389526642,-0.08563607436379495,0.0006374515804596329,234,1.9247992695781322
2016,ridge,long_only,0,0.3248351424004814,0.17847507919724018,1.7873819198274659,-0.09301003726737467,0.0012658854353052465,234,1.2829171932683123
2016,ridge,long_only,5,0.31552557003158865,0.17849999578351836,1.7445620158608948,-0.09360834892750147,0.0012357313987113334,234,1.2829171932683123
2016,ridge,long_only,10,0.3062754672909713,0.1785512179856077,1.7015033483450024,-0.09420666058762761,0.00120557736211742,234,1.2829171932683123
2016,ridge,long_only,20,0.2879523048873547,0.17873247715655607,1.61474772465364,-0.09540328390788066,0.0011452692889295935,234,1.2829171932683123
2016,ridge,long_short,0,0.062307246613550804,0.0807013631046748,0.8468819460171522,-0.05050069806158075,0.000271208442191761,234,2.3302485827048627
2016,ridge,long_short,5,0.04874805251914993,0.08113756533534434,0.6722198971789056,-0.05430206211851707,0.00021643764217092024,234,2.3302485827048627
2016,ridge,long_short,10,0.03534631526832133,0.08176065816132765,0.4982842009592559,-0.058876603506191505,0.0001616668421500794,234,2.3302485827048627
2016,ridge,long_short,20,0.009008639039173705,0.083549537941992,0.1572188348957261,-0.06797588301291557,5.212524210839779e-05,234,2.3302485827048627
2017,elastic_net,long_only,0,0.21720745909429717,0.13251995795205707,1.555776224612842,-0.05987298397878271,0.0008181404756686662,251,1.3478061330203752
2017,elastic_net,long_only,5,0.20746697602117403,0.13216261272506233,1.4985504638069642,-0.06055885702580033,0.0007859220023693743,251,1.3478061330203752
2017,elastic_net,long_only,10,0.19779795276080647,0.13184423331584083,1.4405885229023567,-0.0612447300728185,0.0007537035290700825,251,1.3478061330203752
2017,elastic_net,long_only,20,0.17867238194254242,0.13132547087361876,1.3226313039453974,-0.0626164761668534,0.0006892665824714987,251,1.3478061330203752
2017,elastic_net,long_short,0,0.012924362824851654,0.08579355828025832,0.19303403190702828,-0.06660454984686248,6.571855740670187e-05,251,2.173051574320827
2017,elastic_net,long_short,5,-0.0001550223048916166,0.08529952996214687,0.0406898087966521,-0.07060319157009842,1.3773101446841479e-05,251,2.173051574320827
2017,elastic_net,long_short,10,-0.013079498530369937,0.08496367183901932,-0.1132181923058447,-0.07458898129597025,-3.817235451301892e-05,251,2.173051574320827
2017,elastic_net,long_short,20,-0.03847038376749645,0.0847731008473211,-0.422303098308592,-0.08252211491799821,-0.00014206326643273977,251,2.173051574320827
2017,lgbm,long_only,0,0.2030950143328547,0.12608082924171632,1.5356753589706473,-0.07426490481362669,0.0007683302488297205,251,1.330745721310621
2017,lgbm,long_only,5,0.19356977323657776,0.12583627392102523,1.4749557654497738,-0.07485955043024017,0.0007365195941370364,251,1.330745721310621
2017,lgbm,long_only,10,0.1841136839945765,0.1256319870675122,1.41354647717659,-0.07545419604685388,0.0007047089394443522,251,1.330745721310621
2017,lgbm,long_only,20,0.16540713762656978,0.1253449675073054,1.2888757002984441,-0.07664348728008086,0.000641087630058984,251,1.330745721310621
2017,lgbm,long_short,0,-0.010568043106947145,0.06594678342810172,-0.12892414849996675,-0.05014394671721245,-3.373862261817354e-05,251,2.626370423778059
2017,lgbm,long_short,5,-0.02604517582716237,0.06604413624818606,-0.3682860975600137,-0.05143092164985774,-9.652038573637415e-05,251,2.626370423778059
2017,lgbm,long_short,10,-0.04130017090075189,0.06644212572822117,-0.604197127520586,-0.05439533225452842,-0.00015930214885457477,251,2.626370423778059
2017,lgbm,long_short,20,-0.07115531870556002,0.06811495943693743,-1.0538969811673657,-0.07774007217278267,-0.00028486567509097594,251,2.626370423778059
2017,ranker,long_only,0,0.288185553639434,0.1381591622840752,1.909982758068183,-0.06733262464430478,0.00104714927711003,251,1.1503830093680498
2017,ranker,long_only,5,0.27937336372453214,0.13792699648245882,1.8629552381556764,-0.06784161222211516,0.0010196500816669692,251,1.1503830093680498
2017,ranker,long_only,10,0.27061640442467705,0.13772245854235846,1.8154048800365203,-0.06835059979992464,0.0009921508862239083,251,1.1503830093680498
