date,model,cost_bps,portfolio,gross_return,net_return,turnover
2016-01-29,ridge,0,long_only,0.013002511550003785,0.013002511550003785,1.0
2016-02-29,ridge,0,long_only,0.06339568583439832,0.06339568583439832,1.3395061728395061
2016-03-31,ridge,0,long_only,0.046198104274537445,0.046198104274537445,1.3333333333333333
2016-04-29,ridge,0,long_only,-0.013929267912204212,-0.013929267912204212,1.2578616352201257
2016-05-31,ridge,0,long_only,-0.017336102213566938,-0.017336102213566938,1.3831775700934579
2016-06-30,ridge,0,long_only,0.04462679121117938,0.04462679121117938,1.2530120481927711
2016-07-29,ridge,0,long_only,0.047652055991496606,0.047652055991496606,1.2951807228915664
2016-08-31,ridge,0,long_only,0.04061159421065939,0.04061159421065939,1.2755417956656347
2016-09-30,ridge,0,long_only,-0.056105329005418834,-0.056105329005418834,1.2576687116564418
2016-10-31,ridge,0,long_only,0.10930275371645302,0.10930275371645302,1.343558282208589
2016-11-30,ridge,0,long_only,0.013322054699924729,0.013322054699924729,1.341317365269461
2016-12-30,ridge,0,long_only,0.00854114391418737,0.00854114391418737,1.2339181286549707
2017-01-31,ridge,0,long_only,0.0210859016684908,0.0210859016684908,1.152046783625731
2017-02-28,ridge,0,long_only,-0.02669080879958962,-0.02669080879958962,1.3532934131736527
2017-03-31,ridge,0,long_only,0.02616746983199271,0.02616746983199271,1.3293413173652695
2017-04-28,ridge,0,long_only,-0.031807647454672225,-0.031807647454672225,1.4431137724550898
2017-05-31,ridge,0,long_only,0.03323810839389056,0.03323810839389056,1.3981762917933132
2017-06-30,ridge,0,long_only,1.2505582304573432e-05,1.2505582304573432e-05,1.2979351032448379
2017-07-31,ridge,0,long_only,-0.006596150864089539,-0.006596150864089539,1.345132743362832
2017-08-31,ridge,0,long_only,0.059539505465012695,0.059539505465012695,1.3742331288343559
2017-09-29,ridge,0,long_only,-0.030757927488690315,-0.030757927488690315,1.2048192771084338
2017-10-31,ridge,0,long_only,0.018031278520878834,0.018031278520878834,1.3433734939759037
2017-11-30,ridge,0,long_only,0.029276761676316737,0.029276761676316737,1.4131736526946108
2017-12-29,ridge,0,long_only,0.022859701154393064,0.022859701154393064,1.2347826086956522
2018-01-31,ridge,0,long_only,-0.030299881082414618,-0.030299881082414618,1.1942028985507247
2018-02-28,ridge,0,long_only,0.00651474669672744,0.00651474669672744,1.0988372093023255
2018-03-29,ridge,0,long_only,0.04891697220520472,0.04891697220520472,1.128654970760234
2018-04-30,ridge,0,long_only,0.06420225119047553,0.06420225119047553,0.9554896142433235
2018-05-31,ridge,0,long_only,-0.009301854740084662,-0.009301854740084662,1.2119402985074628
2018-06-29,ridge,0,long_only,0.007354425802740363,0.007354425802740363,1.0804597701149425
2018-07-31,ridge,0,long_only,0.0396939056867687,0.0396939056867687,1.045977011494253
2018-08-31,ridge,0,long_only,-0.04621974836607204,-0.04621974836607204,1.1497005988023952
2018-09-28,ridge,0,long_only,-0.13620716375685216,-0.13620716375685216,1.017751479289941
2018-10-31,ridge,0,long_only,-0.020261068021589924,-0.020261068021589924,1.1597633136094674
2018-11-30,ridge,0,long_only,-0.15848487149424034,-0.15848487149424034,1.3154761904761905
2018-12-31,ridge,0,long_only,0.12820346347897518,0.12820346347897518,1.1771771771771773
2019-01-31,ridge,0,long_only,0.04530697227589128,0.04530697227589128,1.2612612612612613
2019-02-28,ridge,0,long_only,-0.02272925140357348,-0.02272925140357348,1.0892307692307692
2019-03-29,ridge,0,long_only,0.011574760125450148,0.011574760125450148,1.2242424242424241
2019-04-30,ridge,0,long_only,-0.07182635730283395,-0.07182635730283395,1.1636363636363636
2019-05-31,ridge,0,long_only,0.09639654852173803,0.09639654852173803,1.1138461538461537
2019-06-28,ridge,0,long_only,0.006839044728982489,0.006839044728982489,1.2035928143712575
2019-07-31,ridge,0,long_only,-0.05316619049171722,-0.05316619049171722,1.0179640718562875
2019-08-30,ridge,0,long_only,0.004127362802619545,0.004127362802619545,1.2507739938080495
2019-09-30,ridge,0,long_only,0.06185738004303094,0.06185738004303094,1.1083591331269351
2019-10-31,ridge,0,long_only,0.016498732564198072,0.016498732564198072,1.108359133126935
2019-11-29,ridge,0,long_only,0.053683697539261166,0.053683697539261166,1.14375
2019-12-31,ridge,0,long_only,-0.0354963373975776,-0.0354963373975776,1.1701492537313434
