year,model,portfolio,cost_bps,annual_return,annualized_vol,sharpe,max_drawdown,mean_daily_return,trading_days,avg_rebalance_turnover
2016,elastic_net,long_only,0,0.29712222241677555,0.19630753178014065,1.5260060001000757,-0.1027933071247834,0.0011887558387354401,234,0.9195245086626691
2016,elastic_net,long_only,5,0.2905866463469544,0.19630361237842608,1.4982916177664363,-0.10279330712478363,0.00116714308318995,234,0.9195245086626691
2016,elastic_net,long_only,10,0.28408098660647174,0.19631205024975337,1.470483560225395,-0.1027933071247834,0.00114553032764446,234,0.9195245086626691
2016,elastic_net,long_only,20,0.2711589239022094,0.1963659891066882,1.4146075653689445,-0.10279330712478352,0.0011023048165534795,234,0.9195245086626691
2016,elastic_net,long_short,0,-0.09103879163631967,0.052009739949204346,-1.950171766039929,-0.10176583176838094,-0.000402491771460386,234,1.817418586889717
2016,elastic_net,long_short,5,-0.10007987310072819,0.05193131225129458,-2.160404419528182,-0.10961079373842564,-0.00044520887499839226,234,1.817418586889717
2016,elastic_net,long_short,10,-0.1090391826455599,0.05203431617141691,-2.3630049482367252,-0.11759213789756995,-0.00048792597853639845,234,1.817418586889717
2016,elastic_net,long_short,20,-0.12671514428524877,0.05277849910883969,-2.7376065862799033,-0.1333620845196637,-0.0005733601856124107,234,1.817418586889717
2016,lgbm,long_only,0,0.270515391361424,0.17716036216076445,1.5445112808080637,-0.09453295786960003,0.0010858181661481854,234,1.2486073598210419
2016,lgbm,long_only,5,0.26184223622520886,0.1770957098857645,1.503314679966751,-0.0956446501403021,0.0010564705572635026,234,1.2486073598210419
2016,lgbm,long_only,10,0.253222904455209,0.1770561661473629,1.461880648517125,-0.09675566001160629,0.00102712294837882,234,1.2486073598210419
2016,lgbm,long_only,20,0.23614451010084636,0.17705246089244878,1.3783699299261818,-0.09897563255602504,0.0009684277306094549,234,1.2486073598210419
2016,lgbm,long_short,0,-0.06732149697845746,0.046347629514088905,-1.5960838758893914,-0.07782298602205484,-0.0002935504133060816,234,2.404054880901269
2016,lgbm,long_short,5,-0.07955551065760624,0.04581213196809404,-1.9255621240558336,-0.0868200010154413,-0.0003500559767460687,234,2.404054880901269
2016,lgbm,long_short,10,-0.09164354585474799,0.045632845131015336,-2.2451702897931165,-0.09574015476660613,-0.0004065615401860559,234,2.404054880901269
2016,lgbm,long_short,20,-0.11538794036405309,0.04635122576088578,-2.824786398877263,-0.11562107793347132,-0.00051957266706603,234,2.404054880901269
2016,ranker,long_only,0,0.3216071568783967,0.18620671726244128,1.706577262882301,-0.09479447945955755,0.001261016467762046,234,1.2491425948491
2016,ranker,long_only,5,0.3125721001042132,0.1861932599989424,1.6669635743023965,-0.09589934763688934,0.0012316562785668749,234,1.2491425948491
2016,ranker,long_only,10,0.3035931946168402,0.18620372035310123,1.6271351289175422,-0.09700354114884391,0.0012022960893717037,234,1.2491425948491
2016,ranker,long_only,20,0.2858025828083519,0.18629636858701706,1.5468958485505677,-0.09920990417662212,0.0011435757109813614,234,1.2491425948491
2016,ranker,long_short,0,0.06619232380511142,0.07470055680204774,0.9613442390253544,-0.04478122443686672,0.00028497202354617,234,2.716333352321676
2016,ranker,long_short,5,0.05037533967544139,0.07484411940015552,0.7445327566910801,-0.04604492636042601,0.00022112658150442115,234,2.716333352321676
2016,ranker,long_short,10,0.034771773563675445,0.07526836832782184,0.5265803952593854,-0.0473086282839853,0.00015728113946267231,234,2.716333352321676
2016,ranker,long_short,20,0.004194552026166809,0.0769372829889769,0.09691977758845971,-0.056417212712942866,2.95902553791747e-05,234,2.716333352321676
2016,ridge,long_only,0,0.3115642647955277,0.19135559643309463,1.622883388243398,-0.10245872739751583,0.0012323326138836384,234,0.9194716573180113
2016,ridge,long_only,5,0.30495781848265535,0.19134649360507983,1.5944986061437474,-0.1024587273975156,0.0012107211005706082,234,0.9194716573180113
2016,ridge,long_only,10,0.29838159110923246,0.19135012473199348,1.5660069017912046,-0.10245872739751583,0.001189109587257578,234,0.9194716573180113
2016,ridge,long_only,20,0.2853192965460867,0.1913955834099159,1.5087255836028983,-0.10245872739751538,0.001145886560631518,234,0.9194716573180113
2016,ridge,long_short,0,-0.08079457615750085,0.05118458481233274,-1.7467205856158687,-0.09190553214052921,-0.0003547824125313609,234,1.8506756440858068
2016,ridge,long_short,5,-0.0901027364760476,0.05108393458820759,-1.9647441601073774,-0.10020108629576563,-0.0003982811990376512,234,1.8506756440858068
2016,ridge,long_short,10,-0.09932521438259667,0.05117518461191617,-2.1754402490450495,-0.10842845384687783,-0.0004417799855439416,234,1.8506756440858068
