year,model,ic_type,mean_ic,median_ic,std_ic,ic_ir,positive_ic_rate,n_rebalance_dates
2016,elastic_net,pearson_ic,0.032545422080479725,0.03372522007891823,0.059067957151403526,0.5509826926477075,0.75,12
2016,elastic_net,spearman_rank_ic,0.038822983497219625,0.02983802795811523,0.07870617099308229,0.49326479750402147,0.75,12
2016,lgbm,pearson_ic,0.00867204159914269,-0.003040109327090046,0.03724016110979006,0.2328679936044342,0.4166666666666667,12
2016,lgbm,spearman_rank_ic,0.021647196369058635,0.01626170058096049,0.05454675502955237,0.3968558048472472,0.6666666666666666,12
2016,ranker,pearson_ic,0.0403977366602935,0.0466617366853603,0.09476749113284796,0.42628264373552655,0.75,12
2016,ranker,spearman_rank_ic,0.03628698345503597,0.044416949798285824,0.09806449279044085,0.37003182724433725,0.75,12
2016,ridge,pearson_ic,0.024091974607666034,0.02105054801826568,0.045442859531509415,0.5301597402989354,0.75,12
2016,ridge,spearman_rank_ic,0.03257531013535188,0.023816182287000987,0.07226679953382562,0.4507645328904387,0.75,12
2017,elastic_net,pearson_ic,-0.000910317307117544,0.016594853654934856,0.0752954213101986,-0.01208994240655432,0.5833333333333334,12
2017,elastic_net,spearman_rank_ic,-0.003575548752064271,-0.001704147241243844,0.11135114153481125,-0.032110571142608915,0.5,12
2017,lgbm,pearson_ic,0.009337020762159002,-0.003329539586596233,0.042305988538470285,0.22070210588906414,0.4166666666666667,12
2017,lgbm,spearman_rank_ic,0.0253126449874579,0.0054916482899124795,0.08072681886862158,0.3135593021279932,0.5,12
2017,ranker,pearson_ic,0.008307907989940938,-0.011262395828262477,0.0768362970265268,0.10812478361721066,0.4166666666666667,12
2017,ranker,spearman_rank_ic,-0.010860609485925009,-0.041536650352654664,0.0952390199845914,-0.1140352923379738,0.3333333333333333,12
2017,ridge,pearson_ic,0.0022156851888552593,0.024645632899662227,0.07355738133997164,0.03012186062761915,0.5833333333333334,12
2017,ridge,spearman_rank_ic,-0.0017108255299739348,-0.0017829126033622935,0.10278145751830839,-0.01664527407260387,0.5,12
2018,elastic_net,pearson_ic,0.03156149722901555,0.03295450869646574,0.08950877004105666,0.35260787534605437,0.6666666666666666,12
2018,elastic_net,spearman_rank_ic,0.0097988108200232,0.02668356088204977,0.138600106104382,0.07069843664220253,0.6666666666666666,12
2018,lgbm,pearson_ic,0.033106676056092986,0.027112019192193672,0.044561136096015204,0.7429495510338545,0.8333333333333334,12
2018,lgbm,spearman_rank_ic,0.0252889173315691,0.02486406199521879,0.1201012624237721,0.21056329318453165,0.6666666666666666,12
2018,ranker,pearson_ic,-0.003240321647106218,0.005508635668426498,0.11302985923218346,-0.02866783758838468,0.5,12
2018,ranker,spearman_rank_ic,-0.021826028930016863,0.00014676918829069265,0.15181440452332123,-0.14376783941252438,0.5,12
2018,ridge,pearson_ic,0.03785120684002983,0.0447989292072499,0.0721321294910674,0.5247482239480701,0.75,12
2018,ridge,spearman_rank_ic,0.011594918573051722,0.030599579610963164,0.12498344564542399,0.09277163478070782,0.6666666666666666,12
2019,elastic_net,pearson_ic,0.024127775435330154,0.031846149597594055,0.09636532580650144,0.2503781856533954,0.5,12
2019,elastic_net,spearman_rank_ic,0.04110075499458914,0.09573786418037537,0.13406408916227378,0.30657542412301025,0.6666666666666666,12
2019,lgbm,pearson_ic,0.04105225977981869,0.057648610871514044,0.07347537562510027,0.5587213325629414,0.5833333333333334,12
2019,lgbm,spearman_rank_ic,0.040298835528739564,0.053911755642144496,0.09626466887899833,0.41862540013921345,0.6666666666666666,12
2019,ranker,pearson_ic,-0.0016609361318602512,-0.03984317249967659,0.0995633984260872,-0.016682196049116173,0.4166666666666667,12
2019,ranker,spearman_rank_ic,-0.010211951746979064,-0.00942586793121331,0.12113047911523254,-0.08430538557735201,0.5,12
2019,ridge,pearson_ic,0.03413690156904902,0.03986779986500818,0.08245597161123794,0.41400156837635876,0.5,12
2019,ridge,spearman_rank_ic,0.04542093019082661,0.08560298035229652,0.11823345098545943,0.38416310961279954,0.6666666666666666,12
2020,elastic_net,pearson_ic,0.04916302254039069,0.04219591760366426,0.14236446273840303,0.3453321256915676,0.7272727272727273,11
2020,elastic_net,spearman_rank_ic,0.0694763758819516,0.09512211478479746,0.16749897929787774,0.41478686122854413,0.7272727272727273,11
2020,lgbm,pearson_ic,0.026857108446335612,-0.01050226910857321,0.09624345179707175,0.27905387789876374,0.45454545454545453,11
2020,lgbm,spearman_rank_ic,0.032406172553797324,0.039415642843526624,0.11534203358200783,0.28095718054733826,0.6363636363636364,11
2020,ranker,pearson_ic,0.1053348277489797,0.09786630867705574,0.11274745700664034,0.9342545769593361,0.8181818181818182,11
2020,ranker,spearman_rank_ic,0.08989940889201384,0.07709865223793355,0.16020805293676746,0.5611416357921549,0.6363636363636364,11
2020,ridge,pearson_ic,0.042566433573610396,0.06286907211863804,0.14365197277520458,0.2963163871074779,0.6363636363636364,11
2020,ridge,spearman_rank_ic,0.05978599141712859,0.08619730867774231,0.15898519880713216,0.37604753062362783,0.7272727272727273,11
2021,elastic_net,pearson_ic,0.061904403228062795,0.05676305910041915,0.0772420519313756,0.8014339557299789,0.8333333333333334,12
2021,elastic_net,spearman_rank_ic,0.05502074291735946,0.026454632725436543,0.10370853195449901,0.5305324632451571,0.75,12
2021,lgbm,pearson_ic,0.04192963682850914,0.04557443248063742,0.04787264996656832,0.8758578615930086,0.8333333333333334,12
2021,lgbm,spearman_rank_ic,0.05704690154241813,0.05090770516272375,0.07167008958786525,0.7959652606891253,0.75,12
2021,ranker,pearson_ic,-0.08609819406330886,-0.08012724227585187,0.11955562769368107,-0.7201517462975894,0.3333333333333333,12
2021,ranker,spearman_rank_ic,-0.11385703882268157,-0.10230071387311512,0.11994736497332821,-0.9492250108870595,0.25,12
2021,ridge,pearson_ic,0.0654667438685838,0.0597492743206216,0.07360351487737314,0.8894513254924635,0.8333333333333334,12
2021,ridge,spearman_rank_ic,0.05874879440944606,0.05887739873328829,0.09305505656949453,0.6313337133439043,0.75,12
2022,elastic_net,pearson_ic,0.04169038293337248,0.016126756328012828,0.1037318394458825,0.401905366337619,0.5833333333333334,12
2022,elastic_net,spearman_rank_ic,0.04026327313829516,0.017127988722918965,0.12719757410352528,0.3165412031012883,0.5,12
2022,lgbm,pearson_ic,0.028296642600609243,0.029453218453239696,0.09988061827819573,0.2833046399632319,0.5833333333333334,12
2022,lgbm,spearman_rank_ic,0.023766448130119747,0.037420184060888054,0.08241442964166147,0.2883772688042183,0.5833333333333334,12
2022,ranker,pearson_ic,0.013169598407306603,-0.0037802735825350794,0.13234607785072836,0.09950879256248488,0.5,12
2022,ranker,spearman_rank_ic,-0.0035624997233759483,-0.04270366776453989,0.15084549385804547,-0.023616878650206622,0.4166666666666667,12
2022,ridge,pearson_ic,0.03047369028087038,-0.0009009704847856743,0.08635517039010883,0.3528878484427246,0.5,12
2022,ridge,spearman_rank_ic,0.030530696683859476,-0.00013798017532807953,0.1069706947909246,0.2854117825777617,0.5,12
2023,elastic_net,pearson_ic,-0.015554521357763312,-0.06433282816218198,0.16137674867367016,-0.09638638456657139,0.4,10
2023,elastic_net,spearman_rank_ic,-0.043877748135808206,-0.10312566604408005,0.19251209988921109,-0.2279220275559793,0.4,10
2023,lgbm,pearson_ic,0.009948737146026907,0.008509969633580656,0.09828081334588713,0.10122766394915313,0.5,10
2023,lgbm,spearman_rank_ic,-0.033749943628114266,-0.06086549668726797,0.13904405037714776,-0.24272842697382438,0.4,10
2023,ranker,pearson_ic,-0.047490081241058225,-0.09465274379579611,0.12969828861824573,-0.3661581177901325,0.4,10
2023,ranker,spearman_rank_ic,-0.06885363333179463,-0.12733096584889725,0.13629050659397296,-0.5051975743029448,0.4,10
2023,ridge,pearson_ic,-0.0018181681077223289,-0.04393563575911103,0.1434941785149711,-0.01267067505134109,0.4,10
2023,ridge,spearman_rank_ic,-0.02845303877985452,-0.06681350763825727,0.17523617298282249,-0.1623696654379894,0.4,10
