permno,score_ensemble,ensemble_pct_rank,y_xs,ticker
22603,0.00031191515907673113,0.00031191515907673113,0.29112650334556056,SPRC
21512,0.0010605115408608857,0.0006238303181534623,-0.3823692496328812,ACXP
22790,0.002776044915782907,0.0009357454772301934,-0.07292839829578668,N/A
22777,0.002838427947598253,0.0012476606363069245,-0.0739070981809955,N/A
23232,0.0032595134123518396,0.0015595757953836558,-0.0644997958180642,CNTM
22544,0.0033530879600748593,0.0018714909544603868,-0.07618421224927507,N/A
22305,0.004148471615720524,0.002183406113537118,-0.06980265543287678,HCVI
22794,0.004398003742981909,0.002495321272613849,-0.07093504281405894,N/A
21314,0.004834684965689332,0.0028072364316905803,-0.07102608579169978,N/A
23118,0.004850280723643169,0.0031191515907673115,-0.07164932852834482,PLAO
23197,0.0055988771054273235,0.0034310667498440423,-0.0720133838278838,RENE
22898,0.0057392389270118525,0.0037429819089207735,-0.07377576530995378,N/A
22591,0.0067217716781035565,0.004054897067997504,-0.0704499961487548,N/A
22535,0.007189644416718653,0.004366812227074236,-0.06715265236500167,N/A
20914,0.009263880224578913,0.004678727386150967,-0.07664932852834472,N/A
22191,0.010449157829070493,0.004990642545227698,0.010298681213465999,BTF
22874,0.011291328758577666,0.005302557704304429,-0.07664932852834472,N/A
22076,0.011572052401746724,0.0056144728633811605,-0.06335398189966468,N/A
19819,0.013443543356207111,0.005926388022457892,-0.13586720562331667,N/A
22508,0.013661883967560825,0.006238303181534623,-0.0738508210656581,N/A
91832,0.014909544603867746,0.006550218340611353,0.4128369716045368,MDGL
75860,0.015845290081097942,0.006862133499688085,0.8878754372012405,N/A
17963,0.018777292576419212,0.007174048658764816,-0.17875143063044674,DWSH
19942,0.018808484092326886,0.007485963817841547,-0.04345967335593093,N/A
14879,0.019681846537741732,0.007797878976918278,-0.47968474168180164,TTOO
18099,0.019681846537741736,0.008109794135995009,-0.07233898370075842,N/A
13657,0.02074235807860262,0.00842170929507174,-0.06945812717470679,VTIP
91703,0.021896444167186523,0.008733624454148471,-0.05815314839163399,IGSB
19278,0.022364316905801623,0.009045539613225203,-0.0618060054977716,IBTH
93147,0.022535870243293822,0.009357454772301934,-0.06831020413640587,VGSH
23250,0.02264504054897068,0.009669369931378666,-0.2297630701649892,TSLQ
19277,0.02317529631940112,0.009981285090455396,-0.06595652389479612,IBTG
