date,year,model,pearson_ic,spearman_rank_ic,n
2016-01-29,2016,ridge,-0.030495712574817962,-0.02264481128581578,3240
2016-01-29,2016,elastic_net,-0.034903268983779184,-0.02294838176303587,3240
2016-01-29,2016,lgbm,-0.023228830161888762,0.00516411472962717,3240
2016-01-29,2016,ranker,0.015258517214223482,0.023217424614605874,3240
2016-02-29,2016,ridge,-0.013114965784213976,-0.032578314744520914,3150
2016-02-29,2016,elastic_net,-0.020262357868612874,-0.042264278375863176,3150
2016-02-29,2016,lgbm,-0.010491298090636375,-0.0033821252904990312,3150
2016-02-29,2016,ranker,-0.004790946753358744,-0.004527081546502026,3150
2016-03-31,2016,ridge,-0.027401662137724887,-0.0029935634223609213,3182
2016-03-31,2016,elastic_net,-0.03781632334738297,-0.016816498085298972,3182
2016-03-31,2016,lgbm,-0.048381819297322645,-0.024910475870686538,3182
2016-03-31,2016,ranker,0.01799112192570003,0.017419729647040832,3182
2016-04-29,2016,ridge,-0.007335457083664524,-0.006899474586646181,3174
2016-04-29,2016,elastic_net,-0.0016001245154608863,-0.0014682801751908163,3174
2016-04-29,2016,lgbm,-0.001529147117899879,0.03815316381946757,3174
2016-04-29,2016,ranker,0.002310835429093096,-0.0004822162020705098,3174
2016-05-31,2016,ridge,-0.016547183018592915,-0.03163570015944163,3210
2016-05-31,2016,elastic_net,-0.01306047717714166,-0.021009157449548985,3210
2016-05-31,2016,lgbm,0.0003472453224005373,-0.06009317023270792,3210
2016-05-31,2016,ranker,-0.013907607277549399,-0.07460003198229916,3210
2016-06-30,2016,ridge,-0.03559904384823611,-0.047940924853422204,3324
2016-06-30,2016,elastic_net,-0.038455894171802354,-0.04786866305726915,3324
2016-06-30,2016,lgbm,-0.043542767461424534,0.004911445839256856,3324
2016-06-30,2016,ranker,0.006521715091329137,0.026860175490301185,3324
2016-07-29,2016,ridge,-0.0851619419385332,-0.08325779946497558,3239
2016-07-29,2016,elastic_net,-0.0857064859304094,-0.08162266911655801,3239
2016-07-29,2016,lgbm,-0.03969785817663333,-0.0809682373401568,3239
2016-07-29,2016,ranker,0.0011322286021796558,-0.013503080654498777,3239
2016-08-31,2016,ridge,-0.010052380886919227,-0.03075417773875587,3216
2016-08-31,2016,elastic_net,-0.012164248357879057,-0.02945121768630784,3216
2016-08-31,2016,lgbm,0.011004939160728023,0.01327053728166596,3216
2016-08-31,2016,ranker,0.08390490602852582,0.03718852436300353,3216
2016-09-30,2016,ridge,-0.014852215814201547,-0.01744489896436985,3263
2016-09-30,2016,elastic_net,-0.016433469411862675,-0.010043930931215115,3263
2016-09-30,2016,lgbm,-0.0047103274648809,-0.01185094752048256,3263
2016-09-30,2016,ranker,-0.07354838920067626,-0.08652491330182577,3263
2016-10-31,2016,ridge,0.0027341579310285282,-0.014273180841859376,3157
2016-10-31,2016,elastic_net,-0.0003582851719387166,-0.023019599012103827,3157
2016-10-31,2016,lgbm,0.03503278076223639,0.03661317790892465,3157
2016-10-31,2016,ranker,0.06813494969698732,0.08021236520690993,3157
2016-11-30,2016,ridge,-0.04787600974920724,-0.018661997422420556,3349
2016-11-30,2016,elastic_net,-0.04885407236652004,-0.015631030469674796,3349
2016-11-30,2016,lgbm,-0.05740433709509119,-0.07117242418186072,3349
2016-11-30,2016,ranker,-0.05508183732045039,-0.05094708418154785,3349
2016-12-30,2016,ridge,0.0017067507608679346,-0.010639610798077875,3428
2016-12-30,2016,elastic_net,0.0034266906224601056,-0.008389500666100301,3428
2016-12-30,2016,lgbm,-0.05545222652814412,0.0027890959545301707,3428
2016-12-30,2016,ranker,-0.0019322506495781518,-0.0189808766686666,3428
2017-01-31,2017,ridge,-0.01384093296868823,0.008729926737060254,3347
2017-01-31,2017,elastic_net,-0.011729285638393778,0.0009853773880697024,3347
2017-01-31,2017,lgbm,0.020541771763310287,0.006964101282730751,3347
2017-01-31,2017,ranker,-0.01041147096851721,-0.026978255071195955,3347
2017-02-28,2017,ridge,-0.08243614724385093,-0.0089150399048714,3343
2017-02-28,2017,elastic_net,-0.0685863150033936,-0.009433756898477828,3343
2017-02-28,2017,lgbm,0.026649481394644927,0.008468861728135055,3343
2017-02-28,2017,ranker,-0.02100690205122022,-0.06181834570533823,3343
2017-03-31,2017,ridge,-0.022179750267872438,0.02763489408471143,3343
2017-03-31,2017,elastic_net,-0.024367018175757073,0.024575018838300523,3343
2017-03-31,2017,lgbm,0.001547964699801593,-0.014237546383725302,3343
2017-03-31,2017,ranker,-0.015206154836863956,-0.00027162679140301877,3343
2017-04-28,2017,ridge,-0.005983741221691161,-0.0542121150190976,3294
2017-04-28,2017,elastic_net,-0.04513677993260987,-0.06291289282341973,3294
2017-04-28,2017,lgbm,-0.004410003336000614,-0.04359051074031199,3294
2017-04-28,2017,ranker,-0.033608085545757546,-0.06578655447551413,3294
2017-05-31,2017,ridge,-0.010182630256722922,-0.014368146703461508,3272
2017-05-31,2017,elastic_net,-0.003948012611079321,-0.010751696873341912,3272
2017-05-31,2017,lgbm,-0.022422452899747276,0.004838216323870184,3272
2017-05-31,2017,ranker,0.019557548178358756,0.00796461656201689,3272
2017-06-30,2017,ridge,0.011978087168745967,0.026850211543947147,3390
2017-06-30,2017,elastic_net,0.01370215999445776,0.030995437946534296,3390
2017-06-30,2017,lgbm,0.0010148628280133606,-0.026026153177867325,3390
2017-06-30,2017,ranker,0.0028949391998633845,-0.007940831602617415,3390
2017-07-31,2017,ridge,0.03362077736099192,-0.014902892185960349,3265
2017-07-31,2017,elastic_net,0.04315613838721892,-0.005642719185442242,3265
2017-07-31,2017,lgbm,0.05634542388366171,-0.0036609847237287713,3265
2017-07-31,2017,ranker,0.004385472892924664,-0.003982792760155288,3265
2017-08-31,2017,ridge,0.015023309067577015,0.01644446191248851,3260
2017-08-31,2017,elastic_net,0.012766367490476108,0.00985495252851983,3260
2017-08-31,2017,lgbm,0.0054055060842365605,0.02881399285165125,3260
2017-08-31,2017,ranker,0.09325005502559432,0.08241242202468933,3260
2017-09-29,2017,ridge,0.06766469604132469,0.06833430667698129,3326
2017-09-29,2017,elastic_net,0.05598432445066608,0.07018855491112548,3326
2017-09-29,2017,lgbm,-0.017146097796681102,0.019382402527362223,3326
2017-09-29,2017,ranker,-0.05397711014523688,-0.04321641158921831,3326
